period,tod,relh,height,Tair,wind,RH,VPD,P,version
JJAS,global,1.35356509685516,23.0106066465378,19.1065116256964,3.48121007430097,68.5972706113253,0.692971098067385,P1,v3.2.0
JJAS,global,1.58927512168884,27.0176770687103,19.09255524307,3.77466625512623,68.5620673977511,0.693144983935594,P1,v3.2.0
JJAS,global,1.82498526573181,31.0247495174408,19.0805277527356,4.02780144451481,68.5292154740246,0.693349512747355,P1,v3.2.0
JJAS,global,2.0606951713562,35.0318179130554,19.0688633569603,4.24906175822284,68.4948689336023,0.693601896125932,P1,v3.2.0
hot10,day,0.0284920819103718,0.48436539247632,34.1604161971655,1.75898624536319,36.240912149314,3.41562589186315,P1,v3.2.0
hot10,day,0.0888952985405922,1.51122007519007,32.8857994666466,1.91545261328037,36.9830720417492,3.14340481755252,P1,v3.2.0
hot10,day,0.156546890735626,2.66129714250565,32.4612866523939,2.28248765988228,37.1570373329287,3.06066978933514,P1,v3.2.0
hot10,day,0.232316687703133,3.94938369095325,32.0401119916867,2.6691177594356,37.0816052655576,2.99229347491922,P1,v3.2.0
hot10,day,0.317178845405579,5.39204037189484,31.6698492588141,2.85232477310376,36.9912419174303,2.93438523118334,P1,v3.2.0
hot10,day,0.412224471569061,7.00781601667404,31.3710759089544,2.88849046902779,36.9282941736839,2.88789584666479,P1,v3.2.0
hot10,day,0.518675565719605,8.81748461723328,31.1258288261218,2.9251147050124,36.8753689583823,2.85026192287146,P1,v3.2.0
hot10,day,0.637900829315186,10.8443140983582,30.9314921061198,3.03769597640404,36.8318335324726,2.82080881657314,P1,v3.2.0
hot10,day,0.771433055400848,13.1143619418144,30.7724094488682,3.22329905399909,36.7896376624975,2.79718189320893,P1,v3.2.0
hot10,day,0.920989215373993,15.6568166613579,30.6485159067008,3.33524277882698,36.7532759280987,2.77905101579525,P1,v3.2.0
hot10,day,1.11785507202148,19.0035362243652,30.3659192207533,3.56164840857188,36.6660413875934,2.73825026927598,P1,v3.2.0
hot10,day,1.35356509685516,23.0106066465378,30.3012931628105,3.91744346190722,36.6440894448962,2.72907688426217,P1,v3.2.0
hot10,day,1.58927512168884,27.0176770687103,30.2508006560497,4.21074801224929,36.6265323572357,2.72194497930396,P1,v3.2.0
hot10,day,1.82498526573181,31.0247495174408,30.2074688251202,4.45698418372717,36.6111512018839,2.71585032900282,P1,v3.2.0
hot10,day,2.0606951713562,35.0318179130554,30.1655697553586,4.66686238998022,36.5959578202378,2.70998170446969,P1,v3.2.0
hot10,night,0.0284920819103718,0.48436539247632,18.5073009001903,1.47046701801129,76.7176242510272,0.494909582153722,P1,v3.2.0
hot10,night,0.0888952985405922,1.51122007519007,18.1962391388722,1.60126885466087,77.2069099546658,0.475157012376656,P1,v3.2.0
hot10,night,0.156546890735626,2.66129714250565,18.1235587878105,1.9081006692006,77.2141173828769,0.472845331122433,P1,v3.2.0
hot10,night,0.232316687703133,3.94938369095325,18.1642250256661,2.23131343951592,76.7680101986302,0.483334762013418,P1,v3.2.0
hot10,night,0.317178845405579,5.39204037189484,18.2130425868891,2.38446974754334,76.3159784117231,0.494250544421053,P1,v3.2.0
hot10,night,0.412224471569061,7.00781601667404,18.2441161326873,2.41470334468744,75.9825300383974,0.502186850294551,P1,v3.2.0
hot10,night,0.518675565719605,8.81748461723328,18.2671252128405,2.44532027764198,75.7179524119852,0.508452013250775,P1,v3.2.0
hot10,night,0.637900829315186,10.8443140983582,18.2832310603216,2.53943530107156,75.5159186720661,0.513200426736959,P1,v3.2.0
hot10,night,0.771433055400848,13.1143619418144,18.3010048108224,2.69459464763984,75.3324700781578,0.51762201622245,P1,v3.2.0
hot10,night,0.920989215373993,15.6568166613579,18.3176912747897,2.78817671690232,75.1785380397582,0.521397151427789,P1,v3.2.0
hot10,night,1.11785507202148,19.0035362243652,18.3540760529347,3.00096262571139,74.8232787092362,0.530066909946266,P1,v3.2.0
hot10,night,1.35356509685516,23.0106066465378,18.3636081010868,3.35326924079504,74.7301882667849,0.532344658032628,P1,v3.2.0
hot10,night,1.58927512168884,27.0176770687103,18.3717586419522,3.658458116727,74.6497498905513,0.534311975983947,P1,v3.2.0
hot10,night,1.82498526573181,31.0247495174408,18.3793798202124,3.92650349782063,74.5741127034352,0.53616212003688,P1,v3.2.0
hot10,night,2.0606951713562,35.0318179130554,18.3873632969001,4.16479481183566,74.4945825857231,0.538108236873344,P1,v3.2.0
hot10,global,0.0284920819103718,0.48436539247632,25.3716903686524,1.54686943957439,56.0309730131279,1.42052057710667,P1,v3.2.0
