mo,version,scenario,n,sl_r2,month,label
2021-05,v3.2.3 iter,DYN_OPT_rdopt_NM,53,0.187383053859952,05,S2 opt x->d_opt
2021-06,v3.2.3 iter,DYN_OPT_rdopt_NM,53,0.376871177280554,06,S2 opt x->d_opt
2021-07,v3.2.3 iter,DYN_OPT_rdopt_NM,53,0.438006824744031,07,S2 opt x->d_opt
2021-08,v3.2.3 iter,DYN_OPT_rdopt_NM,53,0.399378239549369,08,S2 opt x->d_opt
2021-09,v3.2.3 iter,DYN_OPT_rdopt_NM,53,0.583858470452248,09,S2 opt x->d_opt
2021-10,v3.2.3 iter,DYN_OPT_rdopt_NM,52,0.441797022520354,10,S2 opt x->d_opt
2021-11,v3.2.3 iter,DYN_OPT_rdopt_NM,52,0.151864822203143,11,S2 opt x->d_opt
2021-04,v3.2.3 iter,DYN_ALS_S2TIMING_NM,30,0.292528609893681,04,S2t.ALS/ATBD
2021-05,v3.2.3 iter,DYN_ALS_S2TIMING_NM,53,0.611292581109841,05,S2t.ALS/ATBD
2021-06,v3.2.3 iter,DYN_ALS_S2TIMING_NM,53,0.606858950475293,06,S2t.ALS/ATBD
2021-07,v3.2.3 iter,DYN_ALS_S2TIMING_NM,53,0.641350139520955,07,S2t.ALS/ATBD
2021-08,v3.2.3 iter,DYN_ALS_S2TIMING_NM,53,0.587612863675444,08,S2t.ALS/ATBD
2021-09,v3.2.3 iter,DYN_ALS_S2TIMING_NM,53,0.641272123654457,09,S2t.ALS/ATBD
2021-10,v3.2.3 iter,DYN_ALS_S2TIMING_NM,52,0.596434718170532,10,S2t.ALS/ATBD
2021-11,v3.2.3 iter,DYN_ALS_S2TIMING_NM,52,0.206549044340313,11,S2t.ALS/ATBD
2021-04,v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,30,0.345954948218806,04,S2t.ALS/opt
2021-05,v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,53,0.61234108533147,05,S2t.ALS/opt
2021-06,v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,53,0.576268325668977,06,S2t.ALS/opt
2021-07,v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,53,0.618503609539209,07,S2t.ALS/opt
2021-08,v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,53,0.562191362774407,08,S2t.ALS/opt
2021-09,v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,53,0.633989550101039,09,S2t.ALS/opt
2021-10,v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,52,0.606322070666554,10,S2t.ALS/opt
2021-11,v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,52,0.225212387018069,11,S2t.ALS/opt
2021-04,v3.2.3 iter,FUSION_H,30,0.375848136227949,04,Fusion-H (layered)
2021-05,v3.2.3 iter,FUSION_H,53,0.660640783822523,05,Fusion-H (layered)
2021-06,v3.2.3 iter,FUSION_H,53,0.636494549973454,06,Fusion-H (layered)
2021-07,v3.2.3 iter,FUSION_H,53,0.785199205289632,07,Fusion-H (layered)
2021-08,v3.2.3 iter,FUSION_H,53,0.695184944752354,08,Fusion-H (layered)
2021-09,v3.2.3 iter,FUSION_H,53,0.676053183317996,09,Fusion-H (layered)
2021-10,v3.2.3 iter,FUSION_H,52,0.614226503134507,10,Fusion-H (layered)
2021-11,v3.2.3 iter,FUSION_H,52,0.372252618091283,11,Fusion-H (layered)
2021-04,v3.2.3 iter,DYN_RF,30,0.492357972514425,04,S2 RF (dyn)
2021-05,v3.2.3 iter,DYN_RF,53,0.693155019938413,05,S2 RF (dyn)
2021-06,v3.2.3 iter,DYN_RF,53,0.610314302885241,06,S2 RF (dyn)
2021-07,v3.2.3 iter,DYN_RF,53,0.650129808656996,07,S2 RF (dyn)
2021-08,v3.2.3 iter,DYN_RF,53,0.596376094715712,08,S2 RF (dyn)
2021-09,v3.2.3 iter,DYN_RF,53,0.682160100176412,09,S2 RF (dyn)
2021-10,v3.2.3 iter,DYN_RF,52,0.710334947915034,10,S2 RF (dyn)
2021-11,v3.2.3 iter,DYN_RF,52,0.699233637025781,11,S2 RF (dyn)
2021-04,v3.2.3 iter,DYN_S2_ANNUAL,30,0.37303230186591,04,S2 annual (dyn)
2021-05,v3.2.3 iter,DYN_S2_ANNUAL,53,0.558008082467949,05,S2 annual (dyn)
2021-06,v3.2.3 iter,DYN_S2_ANNUAL,53,0.521304845177808,06,S2 annual (dyn)
2021-07,v3.2.3 iter,DYN_S2_ANNUAL,53,0.65169649338463,07,S2 annual (dyn)
2021-08,v3.2.3 iter,DYN_S2_ANNUAL,53,0.557800750454972,08,S2 annual (dyn)
2021-09,v3.2.3 iter,DYN_S2_ANNUAL,53,0.590796001391489,09,S2 annual (dyn)
2021-10,v3.2.3 iter,DYN_S2_ANNUAL,52,0.571862367638552,10,S2 annual (dyn)
2021-11,v3.2.3 iter,DYN_S2_ANNUAL,52,0.378662384024819,11,S2 annual (dyn)
2021-04,v3.2.3 iter,CONST_ALS,30,0.602839615689475,04,LiDAR const
2021-05,v3.2.3 iter,CONST_ALS,53,0.686667763952756,05,LiDAR const
2021-06,v3.2.3 iter,CONST_ALS,53,0.583789717230412,06,LiDAR const
